,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
987231,1.4,201,309,210.0,297.3
79954,17.73,421,376,210.0,282.0
567130,2.39,89,250,209.389,19.4
500891,12.56,505,368,199.863,521.2
55399,19.18,548,325,199.773,668.6
135049,7.76,474,301,209.077,1084.0
733378,13.0,551,356,209.995,363.7
732057,0.83,380,259,209.424,147.3
51333,10.18,433,272,199.097,1115.0
731479,6.92,348,343,209.139,331.3
399758,2.12,207,305,209.385,130.9
401397,0.76,153,325,209.692,1.6
855485,0.8,89,302,210.0,119.2
858884,21.92,610,417,199.577,1301.0
503247,9.33,230,283,209.256,81.1
864741,20.28,491,374,200.592,842.6
35032,11.39,393,245,209.818,334.9
995703,0.76,300,333,209.783,1.6
376761,2.74,238,263,210.0,1.6
811353,2.08,199,272,209.345,172.6
577745,3.44,97,260,209.141,31.0
659806,0.82,236,254,209.751,52.1
219339,5.43,263,351,208.527,82.0
979755,5.23,477,273,200.848,714.4
625691,11.27,610,434,198.943,1309.3
215339,12.25,601,392,198.943,1069.5
443417,5.55,390,292,200.104,224.3
980328,4.36,610,415,198.943,853.6
336983,5.92,89,245,208.88,27.0
518812,0.76,89,307,209.783,1.6
943378,0.76,268,267,210.0,115.2
2085,4.19,352,272,210.0,161.4
663615,18.97,543,353,199.084,1226.9
677814,1.28,89,296,209.904,1.6
957737,17.2,597,416,199.037,1164.1
543082,2.78,89,290,209.796,95.0
529927,8.27,422,383,199.488,667.5
66336,0.76,89,258,210.0,1.6
272966,16.58,359,245,209.208,170.4
876375,21.51,543,412,199.582,1695.3
443181,9.92,374,311,199.328,125.0
38747,3.72,390,312,208.925,9.5
244518,16.1,602,380,201.082,1451.2
321941,6.71,497,298,208.91,246.4
212423,15.16,579,343,199.174,664.0
684487,0.95,360,266,209.739,14.3
460021,1.81,232,250,209.518,412.5
330797,8.15,395,382,209.823,22.5
820287,5.8,380,309,199.742,563.6
934968,15.0,604,407,198.943,1259.0
878902,12.73,577,357,200.732,727.6
507014,6.16,449,299,209.202,459.1
63468,12.24,607,349,200.003,1629.0
568670,7.93,360,369,209.069,120.0
855771,17.09,450,365,200.266,682.2
606372,18.31,531,422,199.524,799.2
358900,17.05,459,276,209.467,185.3
178392,20.84,588,347,198.943,897.6
921914,11.7,571,358,199.823,727.3
348365,0.76,185,304,210.0,1.6
377482,3.15,111,262,208.705,242.8
44792,16.19,597,370,199.902,1529.2
690927,12.44,474,346,209.707,1498.0
50313,2.3,610,350,198.943,822.0
780881,10.62,449,268,210.0,74.8
18958,8.89,433,382,199.969,1753.3
804703,7.25,435,357,198.943,1069.4
8985,0.76,331,279,210.0,176.9
99901,18.86,560,387,198.943,1015.1
655318,7.05,419,318,209.871,203.9
224928,19.34,504,385,199.532,1264.3
926625,17.06,610,337,199.035,1021.7
67898,4.54,89,300,209.149,16.1
68878,3.22,235,294,209.123,54.1
904484,9.23,475,369,199.461,232.8
244299,8.55,499,380,199.854,759.6
912237,11.36,187,323,210.0,202.3
803684,4.4,502,357,210.0,362.2
444936,9.91,138,284,209.927,77.3
895958,10.82,569,369,199.715,1279.8
858828,11.37,514,371,199.863,1147.2
575347,4.89,526,385,199.226,998.0
464016,3.77,99,272,209.568,1.6
196829,0.76,165,299,210.0,192.4
309023,0.76,94,313,209.834,1.6
347381,1.38,198,273,209.32,42.8
310804,5.39,610,368,199.599,1071.2
837523,15.79,195,305,210.0,339.4
268240,9.92,422,260,210.0,211.5
366137,8.34,89,245,209.107,234.6
449596,13.53,610,418,198.989,1287.7
586917,4.13,610,352,199.07,1154.0
980753,25.18,548,426,198.943,1705.1
51662,6.75,391,411,200.265,83.8
892873,9.8,610,382,200.385,1479.4
576798,0.76,97,270,209.118,1.6
480866,12.94,488,342,198.943,802.6
550670,10.59,610,420,198.943,940.7
584291,1.79,610,353,198.943,1001.7
362131,2.26,385,367,208.741,67.6
33319,3.32,245,295,210.0,169.8
215537,6.08,255,312,210.0,325.7
126314,17.07,147,267,210.0,75.7
460373,18.39,562,338,199.146,938.7
489379,19.69,393,359,199.82,375.1
63224,6.25,397,401,209.505,71.7
965339,6.56,268,309,209.407,224.1
779635,17.06,519,392,198.977,931.1
695825,6.12,424,348,209.381,317.4
561880,10.19,534,335,199.105,1159.6
279994,7.06,610,373,199.369,1340.7
876144,11.92,450,329,199.882,1325.5
571749,18.38,489,319,199.907,1237.6
435458,15.63,473,314,199.007,1186.6
256147,17.67,429,250,200.798,1141.9
527943,26.6,610,425,199.009,913.0
330301,12.61,555,349,199.712,1182.7
872559,4.92,216,306,209.257,140.5
69254,9.42,370,325,198.943,667.8
678875,0.76,232,283,210.0,57.2
275405,15.48,454,351,200.818,84.4
943251,7.02,486,434,209.568,264.8
587305,12.76,417,312,198.943,243.8
889145,25.94,580,385,200.137,907.8
379066,13.38,407,253,209.758,207.5
115771,0.76,89,296,210.0,1.6
517431,7.16,138,283,209.439,51.2
265973,8.36,392,333,209.437,357.4
675594,0.76,106,289,209.857,47.6
400807,11.55,139,273,209.73,128.9
565510,13.6,501,381,199.637,901.0
100075,1.26,135,250,209.64,296.9
701082,0.76,126,276,209.009,1.6
103660,7.46,414,260,209.81,339.4
172271,5.56,456,409,209.965,368.6
331227,1.1,160,245,208.956,107.3
259149,14.43,610,413,198.943,1850.9
938626,2.91,99,266,210.0,30.8
606357,4.55,137,272,209.166,1.6
990306,10.68,610,389,200.393,1011.4
829829,9.95,479,277,200.277,1271.5
875277,6.73,110,330,209.483,24.1
256729,6.15,167,269,209.14,284.3
246895,14.18,313,356,199.771,723.2
40810,12.3,463,245,209.148,205.6
314674,13.99,446,268,209.139,142.3
20473,10.49,508,391,200.467,848.8
525060,1.54,99,285,209.714,31.4
582946,11.47,515,259,209.805,1444.5
881794,13.24,419,248,208.756,369.2
974158,15.56,430,261,200.49,848.3
422758,6.09,571,381,199.715,1665.5
673532,18.09,461,342,199.545,1206.6
826660,6.05,610,343,199.041,731.6
733810,0.76,158,285,209.834,28.0
837315,11.19,519,352,198.943,609.6
570266,20.83,601,329,199.052,1310.1
6298,23.17,610,372,198.943,1180.7
996135,5.88,124,377,210.0,36.0
711524,4.44,309,260,200.486,32.2
959375,13.06,489,362,199.206,1439.2
55070,17.59,551,387,199.365,1446.8
21219,6.53,147,417,209.304,5.7
430193,7.47,366,245,199.661,1358.2
992619,6.44,387,363,208.914,240.8
123551,0.76,89,279,209.512,1.6
432316,11.16,333,326,200.308,1292.1
274636,9.66,443,385,200.174,697.6
115138,4.7,315,309,210.0,236.0
431446,6.66,403,314,209.073,316.8
92660,3.57,174,282,209.826,162.7
450102,3.24,140,287,208.653,9.2
348666,9.54,610,342,198.943,1829.8
344474,13.48,424,261,199.813,210.1
483615,13.89,486,375,210.0,382.7
508945,10.85,461,421,200.248,451.9
481188,6.66,471,371,199.358,1187.5
441451,1.84,197,276,209.667,122.5
531787,7.21,610,434,200.048,1083.1
556418,7.1,520,332,199.768,911.9
973423,4.31,217,300,210.0,5.0
386542,6.96,505,393,199.659,168.3
