,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
987231,11.0,610,434,200.498,1199.5
79954,26.6,561,345,199.076,1255.8
567130,0.76,254,393,210.0,1.6
500891,6.1,243,377,209.781,1.6
55399,10.13,532,317,200.18,728.8
135049,5.01,411,282,209.818,346.4
733378,19.85,420,306,200.579,1320.3
732057,2.73,169,420,210.0,1.6
51333,1.22,192,304,210.0,58.4
731479,4.62,476,364,199.741,1193.6
399758,12.45,520,357,200.176,733.1
401397,5.1,209,361,210.0,1.6
855485,10.62,610,424,200.74,980.6
858884,9.08,569,412,199.706,824.3
503247,7.81,527,340,200.361,1118.3
864741,0.76,89,259,209.71,1.6
35032,6.78,531,320,200.942,1747.6
995703,8.2,467,298,210.0,241.7
376761,14.22,522,307,201.023,1565.8
811353,4.54,471,407,201.608,985.4
577745,4.79,380,304,210.0,138.3
659806,6.3,375,310,210.0,199.7
219339,4.61,113,358,210.0,6.7
979755,0.76,211,291,210.0,1.6
625691,0.76,249,336,209.823,1.6
215339,5.06,479,319,201.43,136.3
443417,5.51,213,298,210.0,174.0
980328,7.69,186,316,210.0,253.0
336983,22.66,506,326,200.682,1365.7
518812,9.08,453,409,199.895,946.1
943378,21.22,377,300,199.7,791.7
2085,4.0,129,350,209.926,43.2
663615,5.22,433,377,209.775,319.4
677814,5.11,143,353,210.0,278.8
957737,0.79,240,267,209.153,363.8
543082,7.14,524,386,210.0,735.8
529927,0.76,251,401,209.336,183.3
66336,5.55,414,401,209.965,322.7
272966,6.21,523,384,210.0,277.5
876375,10.96,550,326,201.091,1038.2
443181,1.84,104,374,210.0,1.6
38747,3.21,216,281,209.641,1.6
244518,7.6,89,392,209.912,260.4
321941,5.29,541,316,199.998,378.1
212423,11.01,583,432,200.598,1190.8
684487,3.73,331,270,209.737,215.8
460021,11.43,550,351,199.652,1286.3
330797,19.12,433,369,199.921,1778.8
820287,5.79,445,401,210.0,100.8
934968,1.09,130,296,210.0,41.9
878902,5.41,89,284,210.0,328.3
507014,8.29,368,301,199.992,1363.9
63468,2.89,154,307,210.0,90.8
568670,5.1,386,297,210.0,157.7
855771,0.76,152,360,210.0,1.6
606372,3.36,170,382,209.303,1.6
358900,2.13,123,280,210.0,1.6
178392,2.03,164,359,210.0,60.6
921914,8.76,543,407,199.812,1413.1
348365,11.25,552,426,202.696,997.7
377482,11.54,610,364,200.918,544.3
44792,6.84,405,315,200.437,479.2
690927,8.18,524,402,199.958,1247.3
50313,9.71,534,331,200.69,264.4
780881,10.91,610,337,200.085,513.2
18958,3.36,434,405,210.0,124.0
804703,3.6,211,355,209.943,1.6
8985,0.76,209,311,210.0,1.6
99901,2.57,144,390,209.442,1.6
655318,11.7,610,335,199.413,1384.8
224928,14.4,186,387,210.0,330.8
926625,4.67,599,389,209.676,17.9
67898,5.55,470,299,210.0,192.5
68878,13.82,374,282,209.484,1202.4
904484,0.76,173,392,210.0,1.6
244299,7.45,111,301,209.827,197.2
912237,11.62,610,349,199.918,1314.0
803684,6.94,610,422,201.14,1282.2
444936,5.99,296,295,210.0,1.6
895958,0.76,214,381,210.0,1.6
858828,14.48,417,359,201.205,1136.5
575347,10.16,610,301,200.388,1557.1
464016,11.99,568,415,201.249,481.1
196829,13.26,266,307,210.0,216.3
309023,9.17,486,324,199.933,1118.6
347381,4.62,407,297,210.0,182.1
310804,0.76,211,362,210.0,157.9
837523,11.71,545,434,201.424,1210.2
268240,9.07,547,395,200.157,1270.5
366137,0.76,242,384,208.83,60.0
449596,3.05,141,338,209.244,150.6
586917,13.85,610,432,201.24,1113.9
980753,1.0,160,356,210.0,21.1
51662,0.76,89,348,209.399,1.6
892873,6.95,452,311,200.566,935.9
576798,1.58,101,286,209.25,51.8
480866,9.8,553,361,200.912,1101.4
550670,20.04,505,322,199.413,1585.0
584291,11.58,597,329,200.465,1187.5
362131,1.15,229,389,210.0,1.6
33319,9.61,560,337,200.308,848.2
215537,10.41,610,309,200.729,1034.0
126314,8.83,525,322,201.743,501.3
460373,4.4,464,315,209.817,712.9
489379,15.25,467,310,208.344,1176.4
63224,20.96,398,334,200.779,1141.1
965339,4.07,201,418,210.0,1.6
779635,14.69,376,280,209.93,1169.7
695825,1.23,158,353,210.0,1.6
561880,2.33,119,274,209.702,91.5
279994,2.87,229,384,210.0,47.1
876144,9.4,555,354,200.138,1223.3
571749,16.06,454,383,200.163,1513.2
435458,5.28,232,317,210.0,157.5
256147,11.06,610,340,200.413,1329.7
527943,4.18,89,397,210.0,165.7
330301,5.02,508,401,210.0,110.3
872559,0.76,211,365,209.802,100.8
69254,0.76,206,403,210.0,1.6
678875,1.53,194,377,209.973,54.9
275405,7.63,607,398,199.748,1070.9
943251,8.97,455,380,200.885,830.0
587305,4.18,262,377,210.0,1.6
889145,11.71,610,358,200.559,1634.2
379066,8.08,348,384,209.607,1.6
115771,4.14,108,357,210.0,269.6
517431,3.08,166,371,209.691,1.6
265973,7.83,466,392,200.123,1317.2
675594,11.93,610,337,200.178,679.9
400807,1.41,112,286,209.656,115.0
565510,7.51,533,345,200.409,1448.1
100075,3.3,115,387,210.0,237.6
701082,5.27,166,384,209.632,156.8
103660,5.9,364,320,209.854,147.0
172271,9.01,531,338,199.612,1657.6
331227,7.17,325,324,205.773,288.5
259149,3.93,453,305,209.917,110.1
938626,9.74,560,434,201.308,953.8
606357,7.47,106,341,209.864,1.6
990306,15.35,480,341,199.826,1791.8
829829,5.09,129,323,209.998,95.9
875277,1.0,125,399,209.913,1.6
256729,8.95,536,362,200.469,828.7
246895,0.76,281,408,210.0,1.6
40810,18.28,443,346,205.158,813.0
314674,5.99,187,280,210.0,264.6
20473,9.63,610,413,200.348,1310.1
525060,2.42,138,360,209.932,1.6
582946,2.44,229,256,210.0,1.6
881794,10.84,501,324,200.964,622.2
974158,0.76,89,245,209.002,323.2
422758,14.5,404,273,209.88,762.6
673532,10.66,506,414,201.076,947.1
826660,2.79,133,377,209.958,87.3
733810,8.52,574,335,200.548,701.3
837315,7.01,406,412,210.0,309.1
570266,2.27,186,358,210.0,218.1
6298,8.33,508,408,200.147,1056.1
996135,8.39,93,313,209.835,145.8
711524,10.51,147,282,209.495,91.2
