,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
987231,1.89,89,356,210.0,5.5
79954,21.7,466,388,200.188,1733.6
567130,1.37,102,248,209.934,21.9
500891,19.8,467,399,199.883,1428.5
55399,5.69,278,292,209.935,270.7
135049,8.16,286,404,209.844,139.7
733378,6.89,424,320,200.32,917.2
732057,5.93,478,365,209.919,947.3
51333,7.15,296,312,210.0,127.5
731479,3.4,148,366,209.966,17.3
399758,15.59,443,335,200.499,197.4
401397,4.69,323,412,200.402,1260.2
855485,19.8,445,358,200.027,1529.4
858884,3.99,403,323,210.0,580.3
503247,3.33,272,388,210.0,118.6
864741,2.46,131,354,209.949,18.5
35032,13.76,273,402,209.687,308.8
995703,0.82,105,269,209.92,1.6
376761,6.21,424,392,210.0,280.8
811353,19.88,453,292,200.018,1380.0
577745,6.54,366,301,209.989,262.3
659806,1.66,268,324,210.0,97.6
219339,1.08,127,393,209.939,21.3
979755,24.35,443,289,200.014,1649.7
625691,0.76,107,251,209.966,1.6
215339,6.3,153,397,209.947,13.3
443417,5.28,315,332,209.962,78.5
980328,1.32,95,354,210.0,11.4
336983,4.63,326,413,209.967,227.9
518812,9.63,456,412,200.65,807.7
943378,11.26,512,363,200.565,754.0
2085,3.26,128,335,209.945,12.7
663615,4.14,146,404,209.808,61.7
677814,6.85,410,386,200.082,1402.3
957737,7.48,283,397,209.924,167.8
543082,1.05,111,353,209.885,17.8
529927,17.79,482,409,200.222,1023.8
66336,5.0,285,418,209.933,151.7
272966,1.72,125,356,209.978,11.5
876375,17.78,536,407,199.951,1449.6
443181,6.6,517,365,199.195,496.7
38747,3.51,148,363,209.941,20.0
244518,14.96,484,395,209.792,272.2
321941,4.11,260,321,210.0,64.6
212423,17.44,432,365,199.146,1389.2
684487,5.47,232,315,210.0,184.5
460021,5.19,196,314,210.0,147.8
330797,15.26,473,357,200.285,1031.4
820287,8.54,289,407,209.878,197.1
934968,20.51,558,300,199.82,1419.3
878902,18.23,463,370,199.409,1304.3
507014,12.17,421,379,200.472,692.5
63468,1.84,121,352,210.0,1.6
568670,5.85,269,382,210.0,210.3
855771,14.25,451,287,200.255,1008.3
606372,3.86,89,349,209.908,1.6
358900,0.76,90,261,209.973,1.6
178392,3.76,149,317,209.958,14.1
921914,20.62,475,291,199.925,1306.2
348365,7.35,264,380,210.0,72.5
377482,5.89,275,305,209.937,558.7
44792,15.63,502,279,200.207,1094.3
690927,4.08,167,306,209.932,25.6
50313,4.78,433,413,209.548,739.8
780881,6.85,359,297,210.0,238.9
18958,2.81,123,359,210.0,40.5
804703,3.46,185,287,210.0,498.5
8985,19.52,459,377,199.249,1467.1
99901,4.14,165,384,209.96,30.7
655318,3.66,130,413,209.954,658.6
224928,4.98,271,316,210.0,87.9
926625,9.04,468,309,200.574,629.5
67898,4.11,461,294,209.979,487.9
68878,3.41,281,302,210.0,98.4
904484,7.13,534,417,200.395,890.1
244299,15.8,539,304,200.011,1274.8
912237,9.68,447,287,200.549,630.9
803684,3.13,125,286,209.995,1.6
444936,9.89,459,411,200.536,797.2
895958,19.61,539,283,199.777,1576.5
858828,3.24,121,366,210.0,8.2
575347,5.33,186,362,209.905,118.3
464016,5.11,282,415,209.908,205.8
196829,7.53,603,397,200.815,847.3
309023,12.9,583,396,200.247,1285.2
347381,18.53,494,396,199.921,1279.6
310804,5.73,507,394,209.81,381.0
837523,4.88,446,334,209.715,31.9
268240,14.0,592,293,199.794,1673.0
366137,10.26,595,404,200.196,1337.5
449596,4.51,173,357,209.916,57.7
586917,16.09,457,335,200.506,1114.7
980753,6.36,445,325,209.896,278.3
51662,16.42,458,389,199.902,1171.0
892873,17.67,557,391,199.936,1603.8
576798,14.25,577,369,199.927,1684.1
480866,10.22,610,398,200.178,1379.2
550670,6.33,429,304,200.776,323.5
584291,3.22,119,396,209.933,20.5
362131,2.44,95,340,209.972,10.5
33319,12.58,555,306,200.285,1267.5
215537,5.67,274,405,210.0,143.4
126314,2.33,114,320,209.954,2.3
460373,13.68,258,296,209.916,205.2
