,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
0,14.5,476,394,199.656,764.4
1,11.54,610,374,200.51,1367.0
2,6.12,90,345,209.343,6.1
3,17.1,610,389,198.943,1384.3
4,3.49,510,278,209.299,516.4
5,0.76,189,337,210.0,1.6
6,3.2,162,318,209.866,101.2
7,12.34,336,313,210.0,200.4
8,7.25,583,375,199.575,882.9
9,9.41,104,295,210.0,201.2
10,0.76,89,289,209.294,1.6
11,3.2,514,311,210.0,147.3
12,5.14,424,245,209.198,279.0
13,7.51,529,361,199.943,1090.3
14,0.76,139,255,209.125,123.2
15,15.0,610,327,199.545,1190.6
16,11.01,389,354,210.0,398.5
17,3.43,89,245,210.0,70.6
18,3.42,173,318,210.0,51.8
19,3.9,190,320,209.138,1.6
20,15.15,610,381,199.693,1387.2
21,7.56,429,358,209.956,1106.4
22,4.22,442,362,199.428,1383.0
23,7.58,418,268,209.622,405.4
24,4.41,563,313,199.111,1071.4
25,23.7,429,412,209.332,1139.5
26,6.31,212,320,210.0,125.6
27,4.96,373,298,208.809,249.3
28,21.5,485,412,199.527,1387.7
29,12.23,610,381,198.943,671.8
30,19.08,507,378,199.663,1388.1
31,4.43,200,278,209.909,114.8
32,16.43,267,321,209.069,309.1
33,4.3,326,360,209.463,78.7
34,12.21,184,285,209.83,349.1
35,17.45,610,430,198.943,819.3
36,10.53,185,308,209.935,200.8
37,13.06,477,330,209.409,151.8
38,0.76,89,284,209.96,48.3
39,7.97,480,391,209.484,50.8
40,3.58,125,289,209.981,66.2
41,10.48,513,256,199.558,1631.0
42,10.92,89,253,209.626,131.8
43,2.47,302,259,209.172,128.3
44,9.42,477,413,200.154,527.2
45,7.79,520,376,201.11,702.8
46,7.94,556,344,199.802,332.9
47,0.76,188,262,208.807,16.1
48,15.63,320,320,209.517,155.7
49,17.59,531,323,198.943,1196.7
50,17.03,577,373,199.072,1158.8
51,12.36,89,245,209.733,147.7
52,5.09,179,294,208.849,736.7
53,2.68,202,293,209.425,67.9
54,13.62,125,299,210.0,13.3
55,18.87,522,370,200.032,1248.0
56,10.13,167,269,209.765,294.2
57,7.4,288,280,209.27,230.4
58,1.13,89,249,210.0,1.6
59,12.8,610,335,198.943,1282.9
60,17.06,410,320,199.668,1210.7
61,4.86,373,310,209.033,1.6
62,11.64,429,344,200.241,971.5
63,11.43,357,361,199.767,1674.3
64,21.34,610,417,200.25,1499.7
65,14.57,420,281,209.293,1.6
66,5.28,179,272,209.76,170.2
67,3.51,89,275,209.858,195.5
68,4.23,610,375,199.869,1217.5
69,22.32,592,434,199.396,1345.8
70,10.17,335,284,210.0,154.0
71,2.01,315,306,210.0,1.6
72,4.83,121,270,208.919,260.4
73,16.6,357,245,199.271,1029.2
74,6.9,487,311,209.487,1.6
75,14.93,610,351,198.943,1050.7
76,18.39,438,372,198.943,809.8
77,17.52,610,430,198.943,797.8
78,7.92,523,403,198.943,1223.5
79,8.87,520,374,209.478,246.3
80,4.96,457,354,199.007,469.4
81,6.68,89,245,209.746,60.9
82,0.76,104,282,209.931,76.0
83,2.44,257,278,209.315,102.1
84,11.43,461,296,200.427,908.2
85,2.45,89,285,210.0,1.6
86,17.47,487,364,199.211,992.1
87,0.76,186,334,209.679,1.6
88,2.17,140,286,210.0,130.2
89,5.33,503,357,210.0,360.7
90,6.17,389,399,210.0,137.2
91,2.37,89,303,208.23,1.6
92,8.0,396,328,210.0,688.4
93,6.97,135,258,210.0,253.1
94,8.22,610,434,199.148,1594.0
95,25.25,600,434,200.564,1043.5
96,16.31,89,262,210.0,147.2
97,9.49,543,368,209.831,156.7
98,16.42,407,399,200.723,925.8
99,16.19,545,377,209.137,1025.9
100,26.6,610,434,199.626,983.5
101,10.88,524,315,200.221,1448.1
102,10.2,482,264,200.98,1216.7
103,5.81,491,370,199.554,1883.3
104,4.97,549,388,210.0,270.3
105,6.21,401,278,209.902,120.5
106,17.32,388,320,199.132,1147.1
107,12.06,142,265,209.346,323.4
108,13.97,89,299,210.0,95.6
109,12.4,505,322,198.943,845.4
110,4.47,149,327,209.302,82.7
111,4.39,275,341,209.734,95.1
112,3.1,453,396,200.588,830.8
113,0.76,102,259,209.632,1.6
114,9.47,193,245,210.0,178.7
115,15.35,460,347,199.518,1090.8
116,24.53,479,325,200.087,733.4
117,2.6,99,300,209.409,191.2
118,7.69,453,383,198.943,1013.3
119,17.85,610,370,199.583,941.8
120,7.05,408,291,210.0,353.0
121,15.65,604,386,199.457,997.1
122,15.09,610,384,199.859,1130.7
123,8.75,610,378,199.67,886.7
124,20.86,505,390,199.487,1342.0
125,0.76,298,305,210.0,24.3
126,0.76,89,267,209.728,1.6
127,10.15,479,304,210.0,1892.7
128,22.66,555,372,199.712,1109.6
129,5.93,431,349,209.199,176.0
130,22.47,610,413,198.943,1627.6
131,20.29,574,340,199.709,1417.7
132,14.54,537,408,198.943,1209.1
133,9.71,531,412,199.91,1598.2
134,20.78,476,352,200.242,758.2
135,5.7,227,304,209.411,124.9
136,0.89,319,271,209.491,340.8
137,6.23,149,369,200.036,388.5
138,3.1,89,296,210.0,127.1
139,12.43,89,348,207.917,1.6
140,0.76,225,326,210.0,83.1
141,15.15,319,335,200.101,887.0
142,3.59,212,296,209.235,278.8
143,2.39,375,332,210.0,69.4
144,9.06,549,321,199.788,227.1
145,5.2,226,315,209.313,306.0
146,20.3,477,350,200.867,1101.2
147,5.09,215,270,210.0,88.4
148,3.51,137,313,209.246,138.4
149,6.27,474,299,209.028,216.2
150,6.96,89,292,210.0,42.5
151,14.1,600,397,199.681,1018.2
152,12.24,360,306,208.741,134.3
153,11.39,395,434,209.432,662.1
154,12.47,582,337,199.92,843.1
155,10.92,430,245,199.996,1094.7
156,12.58,512,395,199.469,1565.0
157,4.27,444,291,209.514,372.8
158,23.36,455,376,198.943,281.6
159,12.08,100,250,209.545,16.7
160,6.69,417,245,200.422,72.7
161,9.8,524,390,198.996,1310.7
162,5.3,359,358,209.545,131.5
163,17.66,521,303,199.968,1892.7
164,16.67,489,426,199.436,969.1
165,3.03,473,321,210.0,42.1
166,22.22,540,394,199.19,785.8
167,16.15,388,388,200.843,1417.0
168,13.82,382,245,210.0,121.4
169,1.67,89,275,210.0,4.7
170,16.11,610,397,198.943,1363.9
171,15.51,530,291,199.423,718.1
172,12.37,89,264,209.919,42.4
173,9.99,457,366,210.0,860.3
174,6.23,291,360,209.949,469.4
175,7.89,115,245,209.68,97.8
176,6.71,552,341,199.559,407.5
177,11.0,128,276,209.813,199.3
178,0.98,198,304,209.705,268.9
179,11.25,572,369,199.021,898.2
180,8.42,129,332,209.54,383.6
181,7.69,509,421,200.3,1100.1
182,1.28,187,284,210.0,167.5
183,14.91,598,380,199.102,1640.4
184,5.0,131,325,209.758,1.6
185,15.5,357,255,209.603,324.3
186,6.5,89,343,209.239,189.8
187,8.02,444,373,210.0,342.9
188,11.63,355,338,209.243,1212.4
189,14.44,580,404,200.102,1180.8
190,0.76,222,315,209.562,1.6
191,1.82,136,339,209.336,256.6
192,16.01,610,377,199.074,1498.9
193,8.85,552,344,209.964,82.6
194,0.76,153,357,210.0,1.6
195,6.42,452,382,199.718,327.8
196,15.67,420,288,209.379,240.3
197,2.72,259,277,210.0,167.4
198,0.76,322,299,209.958,55.3
199,8.88,453,388,201.236,223.2
200,10.24,470,310,209.867,472.8
201,6.19,426,371,200.71,663.2
202,11.9,122,292,210.0,486.6
203,16.93,373,268,200.884,986.5
204,4.14,339,333,209.442,138.7
205,2.95,174,254,209.707,175.2
206,10.53,131,250,209.289,1.6
207,0.76,89,292,209.878,1.6
208,11.12,504,406,200.082,604.9
209,11.08,176,330,209.506,26.7
210,2.12,122,304,209.645,1.6
211,4.38,191,298,209.376,228.7
212,11.96,96,248,209.762,298.1
213,0.76,110,259,209.552,1.6
214,5.01,182,257,209.029,75.5
215,3.72,448,278,200.203,309.5
216,7.72,206,420,199.62,291.1
217,4.77,177,310,209.534,360.2
218,4.89,89,357,209.365,220.6
219,1.16,240,330,209.232,114.5
220,8.15,496,306,200.216,1075.3
221,11.08,398,282,209.61,117.5
222,1.6,126,313,209.649,1.6
223,16.34,455,337,199.449,1443.6
224,19.05,439,316,199.477,175.4
225,7.15,102,376,209.389,102.9
226,9.34,328,385,198.943,740.6
227,2.36,118,325,209.976,57.0
228,13.17,570,324,199.658,1034.9
229,16.91,89,359,209.045,31.5
230,7.19,293,338,209.491,57.5
231,10.65,480,325,199.929,1161.7
232,1.26,142,247,208.661,116.2
233,6.48,464,367,208.832,254.2
234,0.76,135,257,209.388,1.6
235,13.27,610,431,198.943,1238.4
