,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
0,17.45,458,338,201.285,1069.0
1,3.07,230,322,207.344,166.3
2,15.57,317,256,204.93,964.4
3,7.45,309,371,207.985,331.4
4,2.72,377,332,204.86,1.6
5,9.29,384,289,204.984,366.8
6,6.5,188,323,210.0,1.6
7,7.79,221,300,210.0,136.0
8,4.21,335,428,202.716,540.9
9,7.47,349,388,204.685,576.6
10,9.52,361,364,205.906,861.3
11,7.53,176,300,205.532,616.5
12,8.48,387,246,208.967,669.3
13,13.17,397,342,202.455,949.7
14,0.76,198,322,210.0,1.6
15,12.58,542,434,202.35,1316.6
16,20.2,525,355,202.411,1723.7
17,10.52,281,342,208.739,411.8
18,9.24,344,301,207.082,315.0
19,0.76,89,291,210.0,1.6
20,0.76,251,252,210.0,1.6
21,0.76,158,332,210.0,60.9
22,0.76,89,248,210.0,1.6
23,2.45,294,285,203.166,1.6
24,7.01,402,404,202.074,971.3
25,0.76,89,283,210.0,1.6
26,10.46,587,368,198.943,1219.7
27,0.76,244,272,210.0,1.6
28,12.31,579,434,202.933,1121.0
29,0.96,394,421,207.146,137.0
30,14.13,336,397,200.327,1284.4
31,3.53,89,290,206.981,5.6
32,13.58,610,421,198.943,1198.1
33,0.76,212,341,210.0,1.6
34,3.18,347,434,206.885,767.0
35,14.72,465,354,199.31,1286.6
36,25.29,610,398,198.943,1892.7
37,9.51,472,365,206.061,743.1
38,4.76,600,413,203.256,781.0
39,14.97,273,354,200.641,856.7
40,26.27,610,385,198.943,1892.7
41,7.93,151,358,207.533,218.1
42,0.76,178,276,210.0,1.6
43,0.76,89,316,210.0,1.6
44,7.32,222,382,208.521,297.3
45,11.21,227,249,206.401,455.1
46,12.94,411,391,200.803,1284.2
47,22.7,610,418,198.943,1778.5
48,6.5,382,311,205.874,254.0
49,4.66,89,329,210.0,234.7
50,11.49,334,354,205.299,720.5
51,0.89,178,290,210.0,97.2
52,8.12,374,413,203.13,467.2
53,6.26,500,367,208.841,240.7
54,1.92,185,392,210.0,1.6
55,2.77,249,344,208.716,177.8
56,0.81,183,398,208.889,1.6
57,15.9,370,330,206.087,1057.1
58,18.34,536,359,202.166,1332.7
59,11.56,320,333,203.246,634.8
60,9.37,574,371,201.472,843.2
61,0.76,89,300,210.0,1.6
62,9.04,435,365,205.473,629.3
63,16.99,333,362,200.539,1246.5
64,4.93,214,314,210.0,389.6
65,9.82,444,434,198.943,1154.9
66,9.92,359,338,201.422,782.2
67,12.55,572,313,200.037,1244.3
68,9.34,398,382,202.058,886.2
69,6.02,168,366,207.5,436.3
70,0.76,398,416,206.496,60.7
71,12.03,213,256,202.734,597.1
72,8.31,106,293,210.0,32.1
73,12.79,474,375,200.515,1101.6
74,9.75,502,346,203.521,699.1
75,20.01,252,287,207.321,787.1
76,2.71,185,353,210.0,1.6
77,9.06,358,355,207.265,638.9
78,9.66,390,324,208.642,579.5
79,9.21,513,434,202.663,922.8
80,14.41,313,245,203.163,580.6
81,1.15,236,345,210.0,253.9
82,0.76,200,362,209.34,1.6
83,14.16,377,342,203.107,576.3
84,1.49,319,405,205.995,1.6
85,3.28,319,393,207.39,1.6
86,8.79,89,380,210.0,1.6
87,12.55,603,434,202.607,1209.3
88,0.76,159,323,210.0,1.6
89,26.47,610,371,198.943,1892.7
90,5.46,411,349,206.693,568.5
91,1.78,96,325,210.0,1.6
92,0.76,89,314,210.0,1.6
93,14.21,519,393,198.943,1141.4
94,13.38,244,341,204.611,706.3
95,2.65,295,291,209.86,360.7
96,0.76,298,343,209.596,1.6
97,7.22,210,393,206.016,346.7
98,15.51,496,389,202.466,1436.5
99,16.69,610,425,199.851,1404.7
100,12.72,458,407,203.418,1414.9
101,0.76,185,387,208.606,1.6
102,5.34,89,264,210.0,1.6
103,11.33,443,351,206.159,982.1
104,4.47,326,294,204.934,440.6
105,14.04,437,366,201.242,699.2
106,7.0,94,342,210.0,1.6
107,13.38,386,379,202.757,1021.4
108,13.78,610,430,199.867,877.5
109,6.21,394,331,207.727,618.9
110,11.08,355,327,203.278,574.0
111,5.77,210,337,208.114,119.3
112,20.84,561,345,198.943,1785.6
113,12.23,412,378,201.983,669.4
114,14.07,238,295,204.679,864.5
115,15.67,522,335,198.943,1256.3
116,9.71,372,363,209.8,682.2
117,8.96,89,294,208.248,237.0
118,4.83,146,368,208.637,49.7
119,12.14,610,384,202.893,1488.4
120,2.16,89,255,210.0,1.6
121,13.55,412,293,205.012,924.3
122,9.26,345,365,199.187,885.8
123,14.48,369,276,206.465,753.4
124,0.76,319,434,204.289,317.3
125,19.78,610,277,199.0,1756.6
126,11.74,311,391,201.722,1258.7
127,8.81,195,279,208.941,511.4
128,7.87,446,312,203.387,728.7
129,7.44,509,359,201.9,1049.0
130,5.36,284,306,208.89,1.6
131,15.25,377,268,203.502,905.0
132,0.76,144,338,210.0,1.6
133,0.76,195,367,210.0,1.6
134,7.65,314,374,205.197,659.7
135,6.91,186,380,205.394,420.2
136,7.31,182,284,207.753,254.5
137,5.47,274,377,208.56,404.6
138,8.8,282,403,205.848,1123.2
139,0.76,138,337,210.0,1.6
140,7.71,414,388,203.166,495.4
141,18.13,445,358,203.155,1480.1
142,1.82,305,368,209.551,1.6
143,19.53,610,313,198.943,1385.1
144,8.52,310,323,207.471,834.5
145,3.52,442,321,202.895,287.1
146,13.14,610,430,199.684,1506.2
147,16.79,610,357,203.046,1566.8
148,0.76,186,298,210.0,1.6
149,1.19,323,379,209.664,92.3
150,0.76,89,409,210.0,1.6
151,6.94,311,414,208.377,665.2
152,0.76,123,333,210.0,1.6
153,13.08,249,365,204.518,583.3
154,12.01,329,253,204.652,499.4
155,0.76,89,342,210.0,1.6
156,13.3,277,255,210.0,421.8
157,6.76,513,280,201.242,639.8
158,10.09,300,352,207.277,642.8
159,13.36,334,361,202.82,1033.3
160,4.65,158,302,207.116,357.5
161,20.88,610,330,198.943,1724.5
162,18.03,600,387,201.581,1441.0
163,14.08,523,434,205.273,1023.3
164,13.14,268,290,205.167,347.6
165,8.74,139,316,207.624,179.3
166,8.53,343,331,203.915,400.5
167,13.37,284,356,206.549,998.8
168,7.55,363,409,200.91,689.2
169,11.95,199,386,204.31,586.0
170,0.76,89,278,210.0,1.6
171,21.29,610,382,198.943,1892.7
172,16.62,326,301,204.784,1089.6
173,19.67,595,393,198.943,1765.2
174,4.83,363,394,205.856,102.3
175,19.4,427,326,204.474,1156.4
176,15.46,318,397,203.36,943.5
177,9.3,352,394,207.056,644.2
178,0.76,289,341,203.819,172.2
179,26.6,610,297,198.943,1870.2
180,15.42,607,390,203.229,1266.6
181,8.29,382,326,206.126,508.6
182,3.5,218,267,210.0,1.6
183,13.2,383,306,201.582,472.4
184,24.17,610,347,198.943,1687.5
185,4.81,178,295,207.972,297.8
186,14.03,478,272,203.876,926.4
187,8.68,214,325,203.28,511.7
188,10.97,559,352,201.577,1022.7
189,0.76,181,274,205.437,53.9
190,0.76,204,325,207.256,149.3
191,0.76,317,322,205.434,1.6
192,9.26,363,272,203.987,476.1
193,0.76,281,319,207.399,1.6
194,8.27,268,318,209.554,352.5
195,15.8,573,377,201.784,732.9
196,6.98,227,292,205.917,283.5
197,0.76,279,332,210.0,1.6
198,8.36,353,325,204.048,802.5
199,4.87,483,339,208.287,288.2
200,3.89,241,343,209.001,129.4
201,15.57,437,285,205.679,620.9
202,13.34,610,422,198.943,1304.4
203,3.0,221,401,206.354,115.3
204,18.13,581,375,199.507,1444.1
205,15.9,520,286,198.943,1263.3
206,3.6,206,304,207.519,228.0
207,10.36,411,332,205.692,696.2
208,13.33,404,369,206.931,1005.2
209,21.41,610,383,198.943,1616.7
210,0.82,97,370,210.0,1.6
211,9.93,275,345,204.504,925.4
212,26.6,594,313,198.943,1856.9
213,13.85,507,345,199.277,978.6
214,1.77,318,408,207.427,115.9
215,0.76,269,331,204.847,1.6
216,10.41,551,421,204.11,794.7
217,2.68,404,309,210.0,1.6
218,0.76,89,323,210.0,1.6
219,6.83,167,252,210.0,87.2
220,4.0,89,294,210.0,1.6
221,2.1,226,359,210.0,1.6
222,6.1,228,246,210.0,1.6
223,16.46,514,374,201.779,1108.4
224,12.13,465,348,205.848,954.4
225,0.76,321,322,210.0,1.6
226,0.76,123,321,210.0,1.6
227,0.76,89,307,210.0,1.6
228,6.47,384,391,203.524,345.7
229,7.24,224,316,202.947,456.1
230,1.07,276,352,210.0,1.6
231,21.52,610,344,198.943,1630.7
232,1.37,125,259,205.437,1.6
233,9.06,386,395,202.202,845.6
234,12.4,475,371,202.663,1177.5
235,9.4,373,343,203.758,590.9
236,0.76,121,283,210.0,1.6
237,5.68,462,317,203.791,573.0
238,11.73,350,434,206.3,770.6
239,16.03,454,302,201.037,771.7
240,8.98,370,347,210.0,395.4
241,3.71,537,383,210.0,535.8
