,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
0,19.44,491,292,200.086,1261.1
1,2.06,130,265,210.0,3.9
2,7.02,283,395,209.899,79.7
3,10.78,253,343,210.0,413.9
4,2.42,122,273,210.0,7.8
5,14.75,458,297,200.188,912.0
6,6.87,554,431,200.422,710.9
7,8.08,468,314,200.574,592.9
8,19.89,471,387,199.836,1438.4
9,16.14,456,425,199.998,719.1
10,5.41,228,321,200.775,264.9
11,5.85,259,394,210.0,342.5
12,17.05,568,397,199.767,1578.2
13,16.66,459,418,199.842,1346.2
14,5.87,268,316,209.96,151.4
15,2.05,128,361,210.0,15.0
16,4.67,171,371,209.914,43.4
17,4.92,237,381,209.886,155.4
18,1.25,105,268,209.994,1.6
19,20.92,424,385,199.846,1661.4
20,3.69,162,359,210.0,18.2
21,15.96,452,363,200.113,1079.7
22,2.54,112,311,210.0,1.6
23,2.04,116,356,209.915,25.5
24,16.77,466,385,199.404,1262.7
25,6.31,426,337,209.915,405.4
26,6.51,411,353,209.89,256.2
27,2.61,104,361,209.943,9.5
28,7.07,572,415,200.7,1047.2
29,13.66,456,402,200.057,1136.9
30,12.35,251,397,209.857,190.9
31,10.72,478,401,200.414,865.0
32,4.59,253,400,209.976,319.5
33,6.77,464,434,199.494,572.1
34,5.08,184,300,209.926,112.9
35,14.99,606,397,199.877,1589.6
36,22.12,463,383,199.698,1596.4
37,14.36,247,395,209.87,351.7
38,1.95,124,397,210.0,19.6
39,14.43,270,294,210.0,340.5
40,6.67,579,423,200.614,849.2
41,18.71,466,390,199.873,1390.7
42,2.97,141,357,210.0,10.1
43,19.24,434,388,200.134,1427.5
44,4.89,283,342,209.96,285.2
45,12.57,506,407,200.114,1228.0
46,19.08,506,302,200.029,1141.2
47,2.47,120,278,209.942,9.2
48,5.95,504,393,209.963,415.7
49,18.56,588,395,199.794,1685.1
50,7.18,451,339,199.684,383.4
51,0.76,89,362,209.975,9.4
52,3.37,151,362,209.958,21.3
53,2.98,173,259,209.998,1.6
54,3.67,105,362,209.898,36.5
55,6.45,549,409,200.607,942.2
56,2.33,119,354,210.0,9.4
57,3.95,174,304,209.926,18.0
58,4.69,302,408,210.0,716.9
59,6.19,487,414,209.894,810.2
60,2.38,100,359,210.0,23.0
61,6.98,382,300,209.921,240.0
62,9.8,561,413,209.798,1030.1
63,18.82,471,385,200.118,408.3
64,6.22,449,300,209.889,746.0
65,12.84,459,414,199.94,1126.9
66,1.62,119,275,210.0,21.4
67,6.33,505,361,210.0,451.8
68,6.99,288,317,210.0,144.0
69,3.33,217,271,209.966,1.6
70,13.09,445,408,200.068,1076.1
71,14.76,456,310,200.062,1030.3
72,6.38,501,364,209.998,455.0
73,3.11,283,313,210.0,70.7
74,5.16,576,367,210.0,807.2
