,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
88519,2.05,89,334,210.0,1.6
982626,9.83,486,344,206.475,502.5
290577,9.75,374,363,205.52,567.8
241354,7.42,236,340,210.0,209.2
309800,11.25,369,356,206.994,482.2
284395,20.13,610,396,198.943,1842.8
251600,0.76,306,407,207.139,37.4
126366,8.32,371,364,204.755,731.4
798386,14.67,610,363,202.938,1247.5
68041,7.82,339,385,206.116,372.1
581820,4.01,290,289,204.552,477.9
565970,9.68,389,390,204.942,1139.3
920346,16.01,420,282,206.707,791.9
739038,11.54,287,355,206.909,854.8
619482,10.61,298,327,203.567,652.8
63335,8.08,411,368,203.735,869.8
937458,8.72,274,268,207.078,165.7
990260,0.76,166,360,206.618,1.6
332213,9.05,322,340,206.041,507.8
31678,3.64,477,338,209.247,487.2
858217,11.89,610,303,202.286,1252.0
925502,3.02,378,326,205.367,443.1
554510,0.76,267,278,204.895,201.5
106517,2.39,269,298,210.0,404.7
677422,14.49,514,393,203.629,946.3
390661,16.12,327,324,204.262,1062.4
749771,13.51,315,342,201.095,1052.9
280877,10.81,255,334,206.856,461.5
78970,4.96,459,351,201.795,910.7
842065,6.07,223,275,210.0,1.6
301094,0.76,314,354,208.529,1.6
823729,11.03,348,345,207.914,512.9
316223,7.48,128,273,207.723,109.0
294053,0.76,214,356,210.0,1.6
33100,9.72,538,329,203.698,533.2
225361,11.31,489,302,205.524,599.2
809904,2.32,223,387,210.0,295.3
237116,16.07,434,278,201.591,1121.4
737258,17.51,496,392,198.943,1002.9
311727,0.82,211,356,209.705,87.6
898500,9.41,318,322,203.155,574.2
475123,12.13,214,368,206.155,433.2
352171,9.59,415,403,209.501,844.9
802818,15.97,492,395,201.867,1102.0
248430,20.41,610,419,198.943,1892.7
977678,11.35,497,376,201.692,829.5
973348,13.11,328,359,202.437,947.8
866737,8.63,247,321,209.207,792.7
30083,12.46,416,378,202.406,669.0
853539,14.14,343,359,204.12,781.3
751811,4.45,239,370,209.052,386.9
742133,1.24,322,370,204.477,320.9
210158,6.58,540,383,203.185,707.2
153177,0.81,288,412,206.338,334.1
112745,4.44,393,384,206.744,286.1
965977,8.67,352,337,207.236,514.5
410258,10.45,580,299,199.26,1054.3
666695,7.75,224,389,209.666,211.5
310451,11.71,606,434,198.957,1204.0
595854,9.1,288,346,210.0,499.4
817571,2.96,311,357,208.389,27.0
382389,4.17,139,335,210.0,129.3
335668,10.63,370,314,200.276,863.9
278813,8.61,320,350,204.975,791.7
933398,0.76,103,319,207.759,1.6
677939,7.39,303,279,205.206,764.9
800111,4.51,255,385,204.148,842.5
120685,12.51,421,274,203.514,341.4
197190,15.71,233,360,205.843,918.3
774037,10.42,420,434,206.453,930.5
438413,15.79,610,397,201.01,1045.8
563119,13.15,509,296,207.06,699.0
864228,7.85,301,245,206.3,438.3
703385,9.23,237,245,206.988,754.4
530194,10.51,456,337,202.663,770.9
