,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
830714,8.51,610,384,199.044,319.7
673708,9.57,435,351,209.686,163.9
103567,5.12,269,278,209.915,226.0
33594,14.83,610,350,200.039,432.7
482653,15.26,414,328,199.917,1500.8
161912,14.88,522,344,198.943,495.4
978019,8.91,453,373,209.774,158.8
970673,12.39,100,245,209.485,121.1
410874,6.29,169,323,209.243,293.7
69936,9.68,548,407,209.248,513.6
441691,16.53,451,281,209.324,202.5
993480,7.38,394,308,208.566,155.1
866932,8.77,610,346,198.943,665.7
314838,16.07,483,391,200.863,835.6
359048,14.44,529,370,200.001,917.1
954393,13.89,460,359,200.851,985.4
16174,7.29,354,272,209.052,9.7
149457,0.76,241,245,208.815,1.6
441051,9.52,532,276,199.37,1019.0
759088,5.06,383,303,209.757,131.5
257550,7.73,534,338,200.691,1464.5
988006,8.41,332,357,199.603,256.2
822315,13.9,526,339,200.347,202.2
105143,7.27,363,366,209.781,868.3
747110,13.73,404,400,199.852,1333.4
440168,9.89,523,297,200.32,901.5
367092,6.38,601,399,199.554,812.9
881319,9.5,352,245,199.132,266.7
733352,6.03,150,263,209.751,196.7
113409,2.4,272,349,210.0,235.0
312142,0.76,144,308,210.0,1.6
424658,5.66,504,354,200.406,1036.8
849157,3.18,297,271,209.445,156.2
567974,5.51,111,275,209.467,107.5
924087,18.59,411,280,200.936,259.0
545956,5.41,89,245,209.019,1.6
86870,5.77,454,432,209.3,316.8
810133,11.71,471,305,198.943,1233.2
781016,7.91,548,353,198.943,987.7
661991,10.92,490,347,199.805,1217.3
334471,10.5,350,388,198.943,1127.6
695527,11.59,89,306,210.0,251.7
893144,11.8,158,264,209.378,246.1
325552,8.09,431,391,199.275,1200.4
926798,11.65,560,364,198.943,839.5
257536,3.16,394,265,209.085,63.3
9509,0.76,219,256,209.292,1.6
988654,12.36,483,287,198.943,1171.9
42613,11.95,480,394,201.203,1708.8
285471,10.2,476,434,208.876,425.2
449158,4.23,584,334,199.651,1216.2
976591,26.6,497,434,200.991,1141.9
695639,20.94,597,426,198.943,1102.0
998121,4.89,89,340,209.826,147.9
933457,8.99,89,322,209.518,105.6
437425,11.66,385,250,199.543,904.7
61291,3.44,373,381,209.974,101.6
5749,18.96,610,410,200.327,784.1
908699,8.69,141,245,210.0,382.1
797228,22.39,490,374,199.666,1125.2
157004,13.19,535,345,199.376,1073.4
911791,11.21,106,279,210.0,284.6
348661,17.51,531,399,200.639,370.0
397354,11.49,394,331,209.301,1462.1
874507,0.76,249,285,208.684,1.6
12336,11.79,460,288,210.0,219.0
10160,8.45,463,343,198.943,1064.7
697921,0.76,108,304,209.221,1.6
