,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
85429,13.02,411,375,200.418,724.0
197381,9.7,209,370,210.0,69.7
82207,5.47,458,292,210.0,61.7
733577,3.64,396,400,209.834,95.8
323084,5.79,410,313,209.946,788.3
815903,7.45,454,321,200.471,623.5
705528,11.63,281,403,209.955,283.2
526250,5.54,357,375,210.0,161.8
321238,13.55,444,364,200.381,854.6
669264,16.66,470,299,200.459,731.3
756963,16.19,484,301,200.333,814.3
887390,7.33,552,421,200.225,1221.6
496429,9.19,279,285,209.942,64.5
897454,12.99,385,336,200.481,87.9
379723,12.24,251,305,209.927,190.9
334917,6.56,511,373,209.991,853.1
715751,5.18,281,383,210.0,583.6
591113,6.28,385,370,210.0,280.4
855572,6.16,477,412,209.961,561.6
211178,5.59,440,308,209.971,707.3
737903,7.1,556,395,200.485,772.2
162865,5.14,533,355,210.0,710.1
374858,7.47,488,403,200.695,1399.8
89552,8.06,469,307,200.975,311.1
899550,6.35,372,379,209.883,263.9
318402,10.8,301,368,209.976,640.4
339617,6.48,516,407,209.897,688.4
734683,5.67,316,321,210.0,164.1
531159,2.31,197,251,209.963,492.2
772228,13.05,274,288,209.965,168.6
581919,3.6,161,405,209.806,65.8
664778,5.73,419,325,210.0,519.8
992406,8.32,205,397,209.981,35.5
522029,16.6,515,379,199.388,1452.5
180657,15.39,471,358,209.918,902.1
411484,5.93,403,335,210.0,202.7
37762,6.56,376,377,209.824,298.1
565669,8.34,468,389,200.596,753.5
75723,6.01,256,376,209.933,365.7
745858,4.89,475,295,210.0,532.7
565129,17.03,565,391,199.83,1555.9
533756,5.77,481,371,210.0,803.9
649885,15.72,516,354,210.0,364.2
81943,5.82,208,372,209.929,602.9
254669,8.41,412,349,210.0,748.7
328831,6.32,370,374,209.985,287.8
588923,10.23,285,410,209.915,244.3
265047,6.49,407,292,210.0,304.8
213773,5.59,420,340,209.886,193.0
355852,16.46,462,272,200.176,1172.2
977595,16.49,538,376,200.317,881.7
203849,8.79,161,290,209.997,579.3
516139,6.6,437,352,199.877,1349.4
200615,15.19,463,352,200.327,1004.8
969032,6.15,428,316,210.0,649.8
476511,14.77,462,377,199.826,1188.2
205591,4.68,248,424,200.458,141.3
621952,5.72,89,376,210.0,172.5
465068,5.57,217,405,209.947,523.3
922076,15.76,489,303,200.228,806.2
597807,15.39,501,374,199.784,1357.7
139138,6.37,373,338,210.0,232.3
950047,7.64,432,355,209.925,373.4
773152,12.28,442,418,200.4,667.6
482364,8.21,197,271,210.0,1.6
856855,10.67,448,370,200.641,750.5
249426,3.57,192,272,209.962,611.1
660075,5.6,199,390,210.0,513.3
693621,5.34,249,374,209.993,407.2
244030,7.3,416,316,200.447,1237.8
760109,17.65,562,408,200.069,1425.0
303782,5.38,431,314,209.953,576.7
142355,3.61,190,327,209.966,47.4
294634,8.04,549,398,209.973,224.3
799197,6.26,465,357,199.786,300.1
995579,6.97,221,375,210.0,138.6
838776,6.19,379,352,209.968,252.5
591393,7.52,445,389,200.265,1609.4
420196,4.93,450,391,209.957,33.8
285069,1.95,103,329,210.0,1.6
112207,6.29,420,327,209.746,316.7
24889,8.45,273,362,209.971,27.0
385673,14.27,477,370,200.231,1144.7
398596,6.56,445,323,210.0,277.0
782339,6.47,321,317,210.0,192.6
74483,5.98,560,419,210.0,777.5
925862,5.9,592,415,200.31,1178.7
812674,7.28,298,376,209.977,557.7
923860,10.45,492,273,209.977,528.1
307295,6.69,444,338,209.615,360.3
176798,16.53,382,330,200.374,1067.2
406233,5.92,231,290,210.0,181.5
423607,13.65,469,388,200.461,918.0
454022,13.21,285,397,209.863,310.6
954852,7.74,202,369,210.0,6.2
146764,8.51,155,262,209.984,1.6
214017,5.25,127,299,209.961,220.6
329390,8.91,252,352,210.0,322.0
798203,6.53,369,374,210.0,238.8
606582,7.09,428,382,200.038,341.0
56254,5.87,381,384,209.893,206.7
199027,17.76,571,370,199.83,1728.4
292334,9.0,173,282,200.575,563.0
15525,6.66,318,413,209.955,932.7
320949,15.05,486,411,200.321,804.1
810155,5.06,375,367,200.326,149.6
522429,6.86,423,380,200.156,336.8
644165,7.08,480,386,200.611,432.7
904032,6.29,577,424,210.0,925.4
371667,4.45,442,427,210.0,518.3
782452,18.06,556,304,199.912,1449.8
475578,7.16,458,347,199.79,402.0
875827,14.98,472,368,209.916,870.6
265161,6.37,559,394,209.935,773.0
876773,8.08,445,352,209.802,385.1
720194,12.25,462,374,200.422,740.8
198264,5.53,525,377,209.974,774.4
361409,19.8,522,393,200.011,1078.0
530651,6.79,475,325,200.495,785.7
545748,7.44,485,297,210.0,381.8
396870,6.71,481,398,200.539,366.7
25931,4.69,89,384,209.956,157.2
866625,12.48,280,286,209.992,1001.2
360136,7.53,552,408,200.575,1107.3
525710,7.04,398,299,200.642,281.2
980024,12.83,409,362,209.953,693.3
877364,4.23,583,416,209.979,1012.7
163522,6.67,467,318,200.463,1089.4
695849,6.33,515,382,200.297,485.6
859949,8.87,269,273,209.953,1.6
75400,6.95,458,346,199.751,368.0
102901,4.39,266,353,210.0,350.6
842,3.51,232,370,209.99,20.5
765658,6.1,591,293,201.004,887.7
581159,6.7,489,308,210.0,370.8
991749,13.52,461,353,200.42,923.3
877200,12.33,476,360,200.561,727.5
423283,7.26,466,291,210.0,408.0
136812,6.47,433,334,209.765,327.3
462162,16.0,586,289,200.805,1191.1
106685,6.02,306,342,209.97,195.7
160583,6.46,384,388,209.914,1060.4
813780,14.46,435,394,200.294,895.1
834569,2.83,124,418,209.999,21.3
832693,10.53,467,276,210.0,566.6
889019,6.35,523,380,200.665,668.8
174528,4.87,227,326,200.743,240.6
387737,16.47,526,296,200.196,1130.5
171629,8.05,465,302,200.48,563.7
597847,14.6,540,398,209.622,359.0
326257,2.46,103,333,210.0,17.2
190790,14.92,260,373,209.931,415.6
861743,13.98,473,373,200.344,962.1
18088,5.01,284,328,209.985,151.2
745556,10.11,514,404,200.145,190.9
163096,3.27,195,353,209.993,339.7
965941,10.29,163,286,200.539,611.4
626184,15.22,480,381,200.411,787.2
899698,16.56,487,388,199.648,390.7
270839,6.14,516,395,210.0,425.8
566162,8.23,447,351,199.959,395.4
182026,9.14,171,370,210.0,1.6
105262,6.42,481,316,200.582,847.8
382422,17.99,559,366,199.816,1822.3
716983,5.26,397,391,200.068,188.1
352814,3.93,271,338,209.922,343.6
573517,3.03,103,331,210.0,20.7
990686,18.73,469,414,200.124,1075.7
649253,7.15,427,305,200.547,1221.2
43533,6.18,431,311,210.0,541.8
436219,7.44,422,386,199.997,1578.3
443245,5.61,440,337,209.966,168.5
584079,5.02,411,291,209.913,39.1
1017,17.9,562,396,199.935,1596.7
210683,7.56,197,262,210.0,1.6
877809,6.71,514,312,200.838,220.6
282534,14.25,563,374,209.761,1587.0
640540,12.71,481,381,209.876,60.5
215092,5.88,309,339,210.0,192.3
773064,6.78,455,363,209.847,362.0
613280,6.71,477,298,210.0,314.6
492731,9.09,505,405,209.891,134.8
656776,16.32,504,364,210.0,317.2
141923,4.42,487,360,210.0,628.5
815502,4.83,438,417,209.996,623.8
8986,5.45,455,374,209.925,790.6
111211,10.04,260,368,209.983,1.6
209443,5.09,468,367,209.943,787.2
379312,3.96,228,374,210.0,296.0
772658,4.05,463,359,209.406,1.6
637001,12.23,555,303,200.331,1128.0
170621,6.95,526,366,199.89,525.2
837136,12.75,237,294,209.977,136.0
912743,15.74,527,408,199.923,1453.6
915213,5.19,219,374,209.986,376.6
771329,7.81,284,412,209.974,154.7
652595,7.69,244,392,209.958,119.5
897670,6.8,588,374,210.0,1014.8
66061,19.47,523,360,199.799,1820.3
12231,2.39,115,334,210.0,18.8
699800,5.49,438,309,210.0,430.7
975233,6.15,496,304,210.0,543.1
355304,6.4,541,410,209.996,674.0
986203,9.61,278,303,209.918,159.6
97911,17.27,578,392,199.694,1761.9
352835,11.39,145,386,209.963,60.8
569548,14.4,578,290,209.815,1499.5
592122,7.28,440,365,200.046,357.2
152252,16.19,588,293,200.337,1317.9
997576,11.59,276,306,210.0,220.4
360113,6.76,428,294,210.0,386.6
906233,6.64,433,379,200.037,305.0
95421,7.24,419,307,200.082,1348.6
193431,6.82,423,382,200.372,333.7
731123,5.28,512,419,200.203,975.1
558072,6.32,512,395,200.363,373.5
954094,10.02,292,403,209.816,255.4
520304,6.13,513,427,199.869,916.4
967573,11.28,461,288,210.0,639.3
268776,6.2,391,362,210.0,211.0
968742,4.46,319,393,210.0,405.2
786164,11.8,254,340,210.0,460.7
