,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
853790,13.83,610,374,200.555,1101.7
864657,7.47,449,331,205.287,1194.6
744505,8.75,553,422,201.339,1308.2
719687,10.22,610,346,199.941,930.4
991315,5.23,505,388,200.49,265.8
157804,0.76,186,406,210.0,1.6
560904,7.54,447,297,200.567,1324.7
873483,11.53,421,305,204.377,217.0
57914,4.53,169,395,210.0,145.9
979068,9.72,190,287,210.0,1.6
573317,11.86,610,348,200.475,1106.7
545648,7.83,496,319,200.21,1414.5
457776,7.98,538,296,200.6,496.2
130203,0.76,202,349,210.0,139.5
117024,6.73,161,289,209.657,308.4
375686,10.36,185,328,209.393,51.3
714248,12.14,610,361,200.375,1051.4
880044,9.15,487,298,201.217,413.2
911346,13.59,89,348,209.706,78.9
844917,10.35,169,369,209.988,233.5
583540,7.63,510,318,199.56,1195.3
827156,7.05,458,308,210.0,81.4
248470,6.58,352,321,201.497,1018.8
70334,12.62,610,363,201.743,892.7
337854,2.87,198,340,210.0,22.3
702991,10.11,561,412,199.683,493.2
47051,7.24,509,379,210.0,406.1
20835,0.98,208,397,210.0,53.6
797290,8.4,126,342,210.0,159.4
968989,9.82,599,345,200.333,1182.1
686549,10.29,552,431,202.054,1249.8
926520,9.39,532,305,200.289,1650.8
779602,2.18,298,394,209.664,181.6
970630,12.42,610,428,200.701,1055.3
263467,0.76,188,370,210.0,1.6
497571,5.92,463,314,204.223,1336.5
244625,6.65,511,333,200.767,1210.9
8020,8.46,610,341,200.044,1252.3
267148,13.27,89,282,210.0,79.1
665601,7.1,404,281,209.561,155.0
689964,5.09,510,370,210.0,1243.6
294823,11.24,576,348,200.071,847.2
855651,0.76,193,365,210.0,1.6
711193,9.65,494,330,200.312,1091.1
982034,1.0,248,397,209.828,1.6
97833,6.01,420,307,199.753,252.6
859395,15.68,488,384,210.0,99.1
890734,9.98,610,329,201.566,1303.4
302282,8.2,575,341,200.313,1062.2
471957,9.97,431,314,199.624,755.6
956385,22.29,445,327,201.89,1163.8
273126,12.67,177,375,209.394,337.2
784539,1.41,243,375,209.745,101.3
150951,8.52,517,306,200.296,995.5
15049,5.95,89,246,209.514,324.2
991594,12.57,573,406,200.075,1047.9
865650,12.18,610,349,200.354,1312.4
622721,2.91,359,369,210.0,107.7
213077,7.29,401,324,200.158,133.5
90455,9.48,500,326,200.531,1009.7
407756,8.0,407,410,201.13,195.3
726925,2.93,338,323,199.461,1.6
402195,6.1,416,291,209.5,170.3
83059,9.37,514,405,200.746,400.0
821463,0.81,240,363,210.0,133.0
118783,9.35,486,421,199.487,1220.1
778214,14.24,610,363,201.462,684.6
484009,5.99,565,408,200.33,1237.0
798265,5.54,147,306,210.0,358.7
784304,10.2,610,355,201.161,1004.4
450777,4.51,193,391,209.795,1.6
919618,10.32,592,346,201.455,857.1
722761,9.24,468,306,199.455,1366.7
603758,11.83,586,397,199.831,967.7
779729,0.76,296,362,210.0,1.6
668741,3.66,207,304,204.13,260.3
783364,6.59,138,379,210.0,18.6
538170,1.35,89,270,209.491,389.9
40490,7.25,200,309,210.0,115.7
739455,10.23,471,344,200.69,1048.9
445733,14.1,610,361,200.618,831.6
200018,8.88,557,332,199.925,1346.9
929194,13.93,610,344,200.776,1052.0
569006,8.67,507,307,201.757,913.2
532274,2.63,240,344,209.578,1.6
13022,0.93,271,366,209.384,269.9
181170,9.22,544,349,200.545,1266.4
554209,17.69,361,299,199.343,1523.0
856853,10.12,177,380,210.0,226.3
707690,5.14,181,407,210.0,1.6
71944,10.77,532,424,200.181,266.1
353548,13.48,419,347,210.0,191.5
163038,9.32,610,317,200.675,1387.1
79704,11.43,610,422,201.739,390.6
758003,5.72,418,372,200.549,156.9
84909,8.33,492,313,201.22,1026.9
55180,10.63,421,387,209.653,167.6
699614,6.79,100,351,210.0,85.7
189617,17.27,390,306,204.975,199.8
763961,12.43,121,367,209.237,299.4
60943,8.93,483,301,201.092,1221.6
